City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,71.64,86,44,5.01,light rain
1,Saint-Philippe,RE,-21.3585,55.7679,69.39,75,60,12.1,broken clouds
2,Hilo,US,19.7297,-155.09,85.28,80,90,13.8,light rain
3,Port Alfred,ZA,-33.5906,26.891,48.79,77,88,32.28,moderate rain
4,Leningradskiy,RU,69.3833,178.4167,38.66,75,100,5.23,overcast clouds
5,Barrow,US,71.2906,-156.7887,37.42,87,90,19.57,light rain
6,Punta Arenas,CL,-53.15,-70.9167,39.31,87,90,11.5,light rain
7,Bluff,NZ,-46.6,168.3333,46.8,63,77,10.4,broken clouds
8,Orzhytsya,UA,49.7918,32.7012,61.61,91,96,8.48,overcast clouds
9,Georgetown,MY,5.4112,100.3354,82.89,88,20,2.3,few clouds
10,Rikitea,PF,-23.1203,-134.9692,72.7,63,18,13.29,few clouds
11,Vaini,TO,-21.2,-175.2,78.96,78,20,9.22,few clouds
12,Kuching,MY,1.55,110.3333,77.22,88,40,3.44,moderate rain
13,Qaanaaq,GL,77.484,-69.3632,38.17,98,100,11.43,light rain
14,Busselton,AU,-33.65,115.3333,48.04,74,67,6.87,broken clouds
15,Ushuaia,AR,-54.8,-68.3,37.06,60,90,9.22,overcast clouds
16,Buraydah,SA,26.326,43.975,93.65,15,53,13.02,broken clouds
17,Yellowknife,CA,62.456,-114.3525,73.33,60,75,11.5,smoke
18,Victoria,HK,22.2855,114.1577,84.33,87,86,1.01,overcast clouds
19,Namalenga,TZ,-10.95,39.1,64.9,93,25,2.51,scattered clouds
20,Isangel,VU,-19.55,169.2667,80.71,83,20,0.0,few clouds
21,Lebu,CL,-37.6167,-73.65,51.67,94,100,4.09,overcast clouds
22,Butaritari,KI,3.0707,172.7902,82.9,75,31,13.18,light rain
23,Kahului,US,20.8947,-156.47,85.26,73,40,20.71,scattered clouds
24,Tiksi,RU,71.6872,128.8694,40.48,92,100,5.59,overcast clouds
