City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Saint-Philippe,RE,69.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
3,Port Alfred,ZA,48.79,moderate rain,-33.5906,26.891,The Halyards Hotel
7,Bluff,NZ,46.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
10,Rikitea,PF,72.7,few clouds,-23.1203,-134.9692,People ThankYou
11,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
12,Kuching,MY,77.22,moderate rain,1.55,110.3333,The Ranee Boutique Suites
14,Busselton,AU,48.04,broken clouds,-33.65,115.3333,Observatory Guest House
17,Yellowknife,CA,73.33,smoke,62.456,-114.3525,The Explorer Hotel
21,Lebu,CL,51.67,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
24,Tiksi,RU,40.48,overcast clouds,71.6872,128.8694,Arktika
25,Galle,LK,79.88,overcast clouds,6.0367,80.217,Amangalla
26,Itarema,BR,78.78,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
27,Jamestown,US,69.44,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
29,Mataura,NZ,46.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
31,Haines Junction,CA,71.55,overcast clouds,60.7522,-137.5108,Parkside Inn
34,Hermanus,ZA,44.91,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
35,Ponta Do Sol,PT,71.71,clear sky,32.6667,-17.1,Hotel do Campo
36,Faya,SA,62.71,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
37,Talnakh,RU,57.92,overcast clouds,69.4865,88.3972,Talnakh Hotel
38,Airai,TL,65.25,scattered clouds,-8.9266,125.4092,Juvinal Martin
39,Prince George,CA,65.64,few clouds,53.9166,-122.753,Canadas Best Value Inn Prince George
40,Chuy,UY,47.88,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
43,Correntina,BR,72.59,few clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
44,Berlevag,NO,44.22,light rain,70.8578,29.0864,Kvitbrakka
45,Sechura,PE,68.14,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
47,Reus,ES,75.87,clear sky,41.1561,1.1069,Hotel NH Ciutat de Reus
48,Hobart,AU,53.22,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
50,Praia,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
51,Belmonte,BR,73.9,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
52,Pevek,RU,42.21,clear sky,69.7008,170.3133,Hotel ABC
53,Sao Filipe,CV,76.41,overcast clouds,14.8961,-24.4956,Hotel Xaguate
56,Toamasina,MG,66.2,light rain,-18.1667,49.3833,Hotel H1
