City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2021-07-18 23:00:26,-42.8794,147.3294,48.06,82,75,8.05
1,Kavieng,PG,2021-07-18 23:02:24,-2.5744,150.7967,83.05,72,99,6.58
2,Mataura,NZ,2021-07-18 23:01:56,-46.1927,168.8643,40.48,90,80,1.61
3,Shingu,JP,2021-07-18 23:04:51,33.7333,135.9833,83.39,78,20,3.71
4,Dikson,RU,2021-07-18 23:04:51,73.5069,80.5464,35.83,89,30,6.55
5,Avarua,CK,2021-07-18 23:04:12,-21.2078,-159.775,78.85,78,40,16.11
6,Gudur,IN,2021-07-18 23:04:52,14.1333,79.85,81.23,68,100,8.12
7,Atuona,PF,2021-07-18 23:01:44,-9.8,-139.0333,77.92,73,6,25.28
8,Albany,US,2021-07-18 23:01:59,42.6001,-73.9662,70.3,95,100,5.37
9,Pangody,RU,2021-07-18 23:04:53,65.85,74.4859,54.07,55,28,7.09
10,Hermanus,ZA,2021-07-18 23:04:53,-34.4187,19.2345,60.91,78,79,5.82
11,Rikitea,PF,2021-07-18 23:01:47,-23.1203,-134.9692,71.69,61,100,24.11
12,Jamestown,US,2021-07-18 23:02:09,42.097,-79.2353,75.29,69,1,5.01
13,Bratsk,RU,2021-07-18 23:04:53,56.1325,101.6142,57.69,74,47,3.06
14,Narsaq,GL,2021-07-18 23:01:46,60.9167,-46.05,48.42,95,100,1.88
15,Cape Town,ZA,2021-07-18 23:04:54,-33.9258,18.4232,61.12,77,80,1.01
16,Tocopilla,CL,2021-07-18 23:01:53,-22.092,-70.1979,61.32,73,61,5.44
17,Khatanga,RU,2021-07-18 23:04:55,71.9667,102.5,57.61,72,99,12.46
18,Aswan,EG,2021-07-18 23:04:55,24.0934,32.907,91.92,14,28,5.1
19,Broome,US,2021-07-18 23:02:11,42.2506,-75.833,72.01,96,90,1.01
20,Kulu,TR,2021-07-18 23:04:55,39.0951,33.0799,78.6,25,0,2.46
21,Airai,TL,2021-07-18 23:04:56,-8.9266,125.4092,59.74,64,97,2.93
22,Hervey Bay,AU,2021-07-18 23:04:56,-25.2986,152.8535,57.31,65,0,3.0
23,Butaritari,KI,2021-07-18 23:04:57,3.0707,172.7902,83.01,74,100,10.0
24,Carnarvon,AU,2021-07-18 23:04:57,-24.8667,113.6333,57.27,57,75,8.05
25,Hilo,US,2021-07-18 23:02:16,19.7297,-155.09,80.33,75,75,8.05
26,Busselton,AU,2021-07-18 23:04:57,-33.65,115.3333,45.09,77,96,6.44
27,Torbay,CA,2021-07-18 23:03:21,47.6666,-52.7314,70.88,71,80,10.58
28,Bitlis,TR,2021-07-18 23:04:58,38.5,42.25,66.47,34,3,4.03
29,Richards Bay,ZA,2021-07-18 23:04:58,-28.783,32.0377,56.5,84,0,5.77
30,San Patricio,US,2021-07-18 23:04:59,28.017,-97.5169,92.12,56,11,12.06
31,Sankt Johann Im Pongau,AT,2021-07-18 23:04:59,47.35,13.2,66.33,99,96,2.13
32,Mahebourg,MU,2021-07-18 23:05:00,-20.4081,57.7,69.82,60,3,11.25
33,Plouzane,FR,2021-07-18 23:05:00,48.3833,-4.6167,69.89,81,0,0.0
34,Roald,NO,2021-07-18 23:05:00,62.5833,6.1333,55.9,76,75,11.5
35,Cherskiy,RU,2021-07-18 23:01:54,68.75,161.3,50.59,52,97,9.66
36,Khuzdar,PK,2021-07-18 23:05:01,27.7384,66.6434,84.31,47,74,6.35
37,New Norfolk,AU,2021-07-18 23:01:44,-42.7826,147.0587,47.71,84,100,1.01
38,Port-Cartier,CA,2021-07-18 23:05:11,50.0334,-66.8654,68.76,71,100,7.74
39,Hanmer Springs,NZ,2021-07-18 23:05:12,-42.5167,172.8167,46.17,84,88,2.46
40,Pangnirtung,CA,2021-07-18 23:05:12,66.1451,-65.7125,46.49,89,100,2.08
